spec,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
S11111,2.114350237717908,2.854185445349817,3.033934959349593,3.1045389369592087,3.181651842439644,3.2376851311953354,3.3415140939597316,3.395754697642637,3.6843066566940914,3.784610169491525,1.858519901,0.349117317,0.021109748,0.589761802,0.103898725,0.083876546,0.300416686,0.002344723,0.012775017,0.203176355
S11111,1.8460221811460253,2.6994489849723173,2.948516618075802,3.0600869565217392,3.1495904522613065,3.172672577580747,3.249914118412492,3.353625336927223,3.416736842105263,3.6375309734513275,0.429056134,0.454865494,0.293711723,0.095035488,0.019941505,0.011844133,0.089890258,0.049276068,1.939738148,0.030711065
S11111,1.9908557213930345,2.750803879310345,3.0859116022099444,3.1690967741935485,3.197048227403385,3.204351585014409,3.2518046875,3.4825537596626837,3.613434846266471,3.750512585812357,0.578642129,0.398591182,0.479700026,0.041344096,0.030482746,0.018153886,0.102421268,1.69751883,0.03768947,0.055608378
S11111,1.904692509167103,2.7572998379254456,2.95765359859567,3.064219244823386,3.1251506849315067,3.204351585014409,3.2518046875,3.352612327382958,3.5420730397422124,3.6497128053293855,0.481935566,0.274785911,0.286892428,0.050781213,0.174072448,0.02866588,0.11568558,1.945762133,0.032569227,0.481555177
S11111,1.9225863652419637,2.8064829106945974,3.0355546851461286,3.075856880733945,3.1504712535344015,3.2153770491803275,3.308705609027547,3.3781440217391308,3.4737617379117034,3.722184568835099,0.618333345,0.783942947,0.044164017,0.064891498,0.175037974,0.065514971,0.064747001,1.738389239,0.017429321,0.195551696
S11111,1.9869249999999998,3.01146192893401,3.161084200567644,3.1673122629582804,3.255593220338983,3.334494141278875,3.399928156004105,3.428400552486188,3.704401805869074,3.713269709543568,0.430131462,0.577818782,0.074696486,0.537631841,0.044444136,0.617205003,0.0041385,0.480630208,0.017391147,0.649024993
S11111,1.861557215619694,2.73025,2.988579040852575,3.0977361282367446,3.170883544303797,3.249914118412492,3.288199077125906,3.314617226471566,3.522737366548043,3.6194257425742573,0.613750445,0.645085198,0.071948641,0.003893457,0.046353774,0.112246293,0.413211882,1.615098729,0.006390675,0.29239774
S11111,1.8564284263959387,2.771715217391304,2.948516618075802,3.0258655058540977,3.1347010309278347,3.2071,3.255593220338983,3.334494141278875,3.4273365550569554,3.6472692307692305,0.486292438,0.237247074,0.188494744,0.086071956,0.006527109,1.182636143,0.95102411,0.111115686,0.106598213,0.416805642
S11111,1.915655705996131,2.6337068170169142,2.934930394431554,3.10795297029703,3.1584234404536864,3.2172229012544227,3.304777593636062,3.3936722430863777,3.6050843373493975,3.6669196428571427,0.519291042,0.2216619,0.46525278,0.00374576,0.02708735,0.021874348,0.206845098,1.672141177,0.025565099,0.016373921
S11111,1.9923725562523051,2.945485148514851,3.01146192893401,3.139938028169014,3.1690967741935485,3.247082872928177,3.288199077125906,3.330497492477432,3.438009698649117,3.777999999999999,0.577830751,0.452724506,0.168502077,0.169723643,0.329844815,0.00970256,0.93163319,0.374867205,0.075829256,0.472132565
S11111,1.9066,2.9500350058343057,3.0019452543885747,3.0226512743628184,3.1584234404536864,3.1915951546063117,3.311658471760797,3.428400552486188,3.5420730397422124,3.704401805869074,0.443995641,0.49910029,0.03639703,0.035855715,0.005341915,0.044116865,2.0818097,0.043376993,0.03581609,0.40921246
S11111,2.053792615266883,2.983893617021277,3.1390638297872338,3.1906883365200764,3.257491193737769,3.309689243027888,3.3415140939597316,3.4530769230769227,3.51709484902309,3.7832860993453985,0.552912546,0.61521507,0.382956796,0.023204311,0.030298419,0.01759318,0.004823722,1.240088183,0.341808511,0.326838406
