epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,49,,0.8383116722106934,,,
0,99,,0.369900107383728,,,
0,149,,1.2050520181655884,,,
0,199,,0.8586452603340149,,,
0,249,,0.1563335806131363,,,
0,299,,0.9307819604873657,,,
0,349,,0.3391990661621094,,,
0,399,,0.46355706453323364,,,
0,449,,0.6223999261856079,,,
0,499,,0.7918875217437744,,,
0,549,,0.6512017846107483,,,
0,599,,0.9344002604484558,,,
0,649,,0.3017531633377075,,,
0,699,,1.354453444480896,,,
0,749,,17.74798583984375,,,
0,799,,3187.12744140625,,,
0,849,,186.68008422851562,,,
0,899,,255.5802459716797,,,
0,949,,109.00633239746094,,,
0,999,,43.236328125,,,
0,1049,,95.73453521728516,,,
0,1099,,123.52232360839844,,,
0,1149,,118.84098815917969,,,
0,1199,,52.614288330078125,,,
0,1249,,216.9759979248047,,,
0,1299,,231.29592895507812,,,
0,1349,,83.61898803710938,,,
0,1399,,50.18993377685547,,,
0,1449,,40.73625946044922,,,
0,1499,,86.53307342529297,,,
0,1549,,21.373798370361328,,,
0,1599,,19.08768081665039,,,
0,1649,,20.517711639404297,,,
0,1699,,16.141983032226562,,,
0,1749,,6.535024166107178,,,
0,1799,,28.375774383544922,,,
0,1849,,19.974519729614258,,,
0,1899,,28.488540649414062,,,
0,1949,,27.45363998413086,,,
0,1956,,,1.7901146411895752,2.2703397274017334,5.15444278717041
0,1956,9062.052734375,,,,
1,1999,,98.48194122314453,,,
1,2049,,12.295934677124023,,,
1,2099,,35.04808807373047,,,
1,2149,,32.841182708740234,,,
1,2199,,5.267679691314697,,,
1,2249,,124.23515319824219,,,
1,2299,,515.7470703125,,,
1,2349,,51.90776443481445,,,
1,2399,,63.686492919921875,,,
1,2449,,157.6268310546875,,,
1,2499,,40.15959930419922,,,
1,2549,,98.94926452636719,,,
1,2599,,208.3877410888672,,,
1,2649,,43.73955535888672,,,
1,2699,,52.18101119995117,,,
1,2749,,8654.951171875,,,
1,2799,,129005207552.0,,,
1,2849,,145128656.0,,,
1,2899,,17697646.0,,,
1,2949,,10310003.0,,,
1,2999,,10113507.0,,,
1,3049,,13780058.0,,,
1,3099,,16543094.0,,,
1,3149,,5108669.0,,,
1,3199,,16178731.0,,,
1,3249,,8549313.0,,,
1,3299,,4159365.5,,,
1,3349,,4397273.5,,,
1,3399,,2085017.75,,,
1,3449,,7758361.5,,,
1,3499,,2518913.25,,,
1,3549,,583292.3125,,,
1,3599,,746449.375,,,
1,3649,,2752419.5,,,
1,3699,,3748920.75,,,
1,3749,,2153189.0,,,
1,3799,,869518.6875,,,
1,3849,,1370615.125,,,
1,3899,,544672.5,,,
1,3913,,,2621.177978515625,3176.94091796875,10092954.0
1,3913,14788286464.0,,,,
2,3949,,641208.4375,,,
2,3999,,1900919.375,,,
2,4049,,4484934.0,,,
2,4099,,2883735.75,,,
2,4149,,1890189.25,,,
2,4199,,2981754.75,,,
2,4249,,2469058.75,,,
2,4299,,681465.625,,,
2,4349,,1394326.375,,,
2,4399,,899008.125,,,
2,4449,,1611890.25,,,
2,4499,,595241.9375,,,
2,4549,,1824520.625,,,
2,4599,,542043.5,,,
2,4649,,5295917.0,,,
2,4699,,3789489.5,,,
2,4749,,501641.1875,,,
2,4799,,113511.8359375,,,
2,4849,,347462.53125,,,
2,4899,,284532.8125,,,
2,4949,,594448.0625,,,
2,4999,,344279.40625,,,
2,5049,,285585.4375,,,
2,5099,,274866.53125,,,
2,5149,,2383291.75,,,
2,5199,,821390.125,,,
2,5249,,729082.125,,,
2,5299,,418990.6875,,,
2,5349,,475519.84375,,,
2,5399,,241496.40625,,,
2,5449,,383007.625,,,
2,5499,,713412.375,,,
2,5549,,529891.125,,,
2,5599,,440993.0625,,,
2,5649,,235669.796875,,,
2,5699,,270228.59375,,,
2,5749,,881803.125,,,
2,5799,,562799.1875,,,
2,5849,,580326.3125,,,
2,5870,,,1231.9283447265625,1559.581787109375,2432295.25
2,5870,1166008.75,,,,
3,5899,,224283.71875,,,
3,5949,,77266.9453125,,,
3,5999,,394922.0,,,
3,6049,,247073.75,,,
3,6099,,437888.40625,,,
3,6149,,543571.875,,,
3,6199,,491463.65625,,,
3,6249,,358101.15625,,,
3,6299,,1107250.25,,,
3,6349,,271312.75,,,
3,6399,,15438899.0,,,
3,6449,,3580729.25,,,
3,6499,,2702472.5,,,
3,6549,,1593505.875,,,
3,6599,,2328057.5,,,
3,6649,,129454.3984375,,,
3,6699,,794667.4375,,,
3,6749,,6957654.5,,,
3,6799,,2536572.75,,,
3,6849,,5290834.5,,,
3,6899,,1275572.25,,,
3,6949,,1617504.375,,,
3,6999,,861348.8125,,,
3,7049,,267257.59375,,,
3,7099,,153234.484375,,,
3,7149,,143090.734375,,,
3,7199,,1132309.875,,,
3,7249,,777566.125,,,
3,7299,,260846.0,,,
3,7349,,518132.84375,,,
3,7399,,178924.9375,,,
3,7449,,228581.328125,,,
3,7499,,119717.9765625,,,
3,7549,,265015.71875,,,
3,7599,,1075828.0,,,
3,7649,,119662.6484375,,,
3,7699,,105650.9375,,,
3,7749,,322846.53125,,,
3,7799,,623449.375,,,
3,7827,,,104.68375396728516,155.23089599609375,24096.630859375
3,7827,5518495.0,,,,
